Country,Code,Calling Code,Year,CO2 emission (Tons),Population(2022),Area,% of World,Density(km²)
Brazil,BR,55,1750,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1751,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1752,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1753,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1754,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1755,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1756,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1757,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1758,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1759,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1760,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1761,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1762,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1763,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1764,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1765,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1766,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1767,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1768,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1769,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1770,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1771,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1772,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1773,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1774,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1775,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1776,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1777,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1778,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1779,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1780,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1781,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1782,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1783,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1784,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1785,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1786,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1787,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1788,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1789,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1790,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1791,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1792,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1793,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1794,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1795,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1796,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1797,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1798,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1799,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1800,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1801,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1802,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1803,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1804,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1805,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1806,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1807,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1808,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1809,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1810,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1811,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1812,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1813,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1814,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1815,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1816,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1817,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1818,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1819,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1820,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1821,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1822,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1823,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1824,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1825,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1826,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1827,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1828,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1829,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1830,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1831,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1832,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1833,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1834,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1835,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1836,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1837,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1838,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1839,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1840,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1841,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1842,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1843,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1844,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1845,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1846,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1847,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1848,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1849,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1850,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1851,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1852,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1853,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1854,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1855,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1856,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1857,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1858,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1859,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1860,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1861,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1862,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1863,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1864,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1865,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1866,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1867,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1868,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1869,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1870,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1871,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1872,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1873,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1874,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1875,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1876,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1877,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1878,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1879,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1880,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1881,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1882,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1883,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1884,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1885,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1886,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1887,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1888,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1889,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1890,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1891,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1892,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1893,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1894,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1895,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1896,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1897,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1898,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1899,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1900,0,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1901,2103136,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1902,4609312,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1903,7049536,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1904,9669296,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1905,12468592,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1906,15674592,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1907,19126080,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1908,22720464,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1909,26329504,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1910,30528448,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1911,35134096,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1912,40725360,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1913,46759968,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1914,50867312,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1915,54011024,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1916,56890928,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1917,59389776,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1918,61712752,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1919,64783184,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1920,68428864,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1921,71319760,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1922,75101008,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1923,79717648,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1924,84821600,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1925,90196688,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1926,95674368,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1927,101749280,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1928,107677275,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1929,114022937,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1930,119536901,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1931,123705850,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1932,127874888,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1933,132596893,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1934,137219554,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1935,142728725,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1936,147874685,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1937,153961935,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1938,160056333,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1939,166003844,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1940,172489787,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1941,178770457,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1942,184637156,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1943,191112079,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1944,197007850,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1945,203830762,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1946,211291003,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1947,220238470,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1948,228085935,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1949,235452735,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1950,255111807,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1951,276771155,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1952,301705466,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1953,326923906,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1954,356599532,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1955,390623226,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1956,427231682,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1957,463205761,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1958,502259689,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1959,541276769,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1960,588128590,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1961,637273093,215313498,8515767,5.60%,25/km²
Brazil,BR,55,1962,690904542,215313498,8515767,5.60%,25/km²
